Rule   (Support, Confidence) 
says -> 2  (1.7699%, 100%)
scary -> 2  (1.7699%, 100%)
screw -> 2  (1.7699%, 100%)
se -> 2  (1.7699%, 100%)
searching -> 2  (1.7699%, 100%)
seemed -> 2  (1.7699%, 100%)
seller -> 2  (1.7699%, 100%)
sending -> 2  (1.7699%, 100%)
sense -> 2  (1.7699%, 100%)
series -> 2  (1.7699%, 100%)
shame -> 2  (1.7699%, 100%)
show -> 2  (1.7699%, 100%)
similar -> 2  (1.7699%, 100%)
slam -> 2  (1.7699%, 100%)
slightly -> 2  (1.7699%, 100%)
smh -> 2  (1.7699%, 100%)
smoking -> 2  (1.7699%, 100%)
spacesaver -> 2  (1.7699%, 100%)
spinning -> 2  (1.7699%, 100%)
split -> 2  (1.7699%, 100%)
spots -> 2  (1.7699%, 100%)
spray -> 2  (1.7699%, 100%)
stand -> 2  (1.7699%, 100%)
sticks -> 2  (1.7699%, 100%)
stopcancel -> 2  (1.7699%, 100%)
stops -> 2  (1.7699%, 100%)
story -> 2  (1.7699%, 100%)
stovetop -> 2  (1.7699%, 100%)
strength -> 2  (1.7699%, 100%)
surprised -> 2  (1.7699%, 100%)
swap -> 2  (1.7699%, 100%)
system -> 2  (1.7699%, 100%)
tech -> 2  (1.7699%, 100%)
template -> 2  (1.7699%, 100%)
ten -> 2  (1.7699%, 100%)
terms -> 2  (1.7699%, 100%)
test -> 2  (1.7699%, 100%)
text -> 2  (1.7699%, 100%)
theyre -> 2  (1.7699%, 100%)
thin -> 2  (1.7699%, 100%)
throwing -> 2  (1.7699%, 100%)
tiny -> 2  (1.7699%, 100%)
told -> 2  (1.7699%, 100%)
trim -> 2  (1.7699%, 100%)
trouble -> 2  (1.7699%, 100%)
truck -> 2  (1.7699%, 100%)
true -> 2  (1.7699%, 100%)
try -> 2  (1.7699%, 100%)
um -> 2  (1.7699%, 100%)
underpowered -> 2  (1.7699%, 100%)
unlike -> 2  (1.7699%, 100%)
unplug -> 2  (1.7699%, 100%)
usage -> 2  (1.7699%, 100%)
users -> 2  (1.7699%, 100%)
value -> 2  (1.7699%, 100%)
various -> 2  (1.7699%, 100%)
vegetables -> 2  (1.7699%, 100%)
volume -> 2  (1.7699%, 100%)
w -> 2  (1.7699%, 100%)
ware -> 2  (1.7699%, 100%)
warehouse -> 2  (1.7699%, 100%)
wave -> 2  (1.7699%, 100%)
whats -> 2  (1.7699%, 100%)
when -> 2  (1.7699%, 100%)
wife -> 2  (1.7699%, 100%)
wouldnt -> 2  (1.7699%, 100%)
writing -> 2  (1.7699%, 100%)
x -> 2  (1.7699%, 100%)
youre -> 2  (1.7699%, 100%)
template -> 215953885  (1.7699%, 100%)
295520151 -> close  (1.7699%, 100%)
295520151 -> open  (1.7699%, 100%)
