Rule   (Support, Confidence) 
mebr -> 1  (1.2407%, 100%)
microwavebr -> 1  (1.2407%, 100%)
moisture -> 1  (1.2407%, 100%)
negative -> 1  (1.2407%, 100%)
noises -> 1  (1.2407%, 100%)
office -> 1  (1.2407%, 100%)
onebr -> 1  (1.2407%, 100%)
options -> 1  (1.2407%, 100%)
originally -> 1  (1.2407%, 100%)
overtherange -> 1  (1.2407%, 100%)
passed -> 1  (1.2407%, 100%)
paying -> 1  (1.2407%, 100%)
pieces -> 1  (1.2407%, 100%)
plug -> 1  (1.2407%, 100%)
pos -> 1  (1.2407%, 100%)
possible -> 1  (1.2407%, 100%)
process -> 1  (1.2407%, 100%)
productbr -> 1  (1.2407%, 100%)
rating -> 1  (1.2407%, 100%)
refuses -> 1  (1.2407%, 100%)
reheat -> 1  (1.2407%, 100%)
reliability -> 1  (1.2407%, 100%)
requires -> 1  (1.2407%, 100%)
resolved -> 1  (1.2407%, 100%)
sad -> 1  (1.2407%, 100%)
safe -> 1  (1.2407%, 100%)
saying -> 1  (1.2407%, 100%)
scary -> 1  (1.2407%, 100%)
setting -> 1  (1.2407%, 100%)
show -> 1  (1.2407%, 100%)
shutting -> 1  (1.2407%, 100%)
site -> 1  (1.2407%, 100%)
sitting -> 1  (1.2407%, 100%)
slightly -> 1  (1.2407%, 100%)
spacemaker -> 1  (1.2407%, 100%)
spot -> 1  (1.2407%, 100%)
success -> 1  (1.2407%, 100%)
surface -> 1  (1.2407%, 100%)
switch -> 1  (1.2407%, 100%)
system -> 1  (1.2407%, 100%)
taken -> 1  (1.2407%, 100%)
timebr -> 1  (1.2407%, 100%)
trust -> 1  (1.2407%, 100%)
tv -> 1  (1.2407%, 100%)
unsafe -> 1  (1.2407%, 100%)
wants -> 1  (1.2407%, 100%)
warning -> 1  (1.2407%, 100%)
willing -> 1  (1.2407%, 100%)
155528792 -> ge  (1.2407%, 100%)
a -> i  (1.2407%, 83.3333%)
a -> microwave  (1.2407%, 83.3333%)
a -> time  (1.2407%, 83.3333%)
apart -> microwave  (1.2407%, 83.3333%)
appears -> microwave  (1.2407%, 100%)
appointment -> microwave  (1.2407%, 100%)
arrive -> microwave  (1.2407%, 100%)
arrive -> week  (1.2407%, 100%)
attempted -> bad  (1.2407%, 100%)
attempted -> dont  (1.2407%, 100%)
attempted -> microwave  (1.2407%, 100%)
attempted -> numerous  (1.2407%, 100%)
attempted -> service  (1.2407%, 100%)
attempted -> times  (1.2407%, 100%)
loss -> bad  (1.2407%, 83.3333%)
beeps -> microwave  (1.2407%, 83.3333%)
cooked -> bought  (1.2407%, 83.3333%)
bowl -> microwave  (1.2407%, 100%)
charges -> br  (1.2407%, 83.3333%)
executive -> br  (1.2407%, 100%)
liked -> br  (1.2407%, 83.3333%)
