Rule   (Support, Confidence) 
based -> oven  (1%, 100%)
based -> range  (1%, 100%)
based -> there  (1%, 100%)
based -> top  (1%, 100%)
liked -> better  (1%, 100%)
provided -> better  (1%, 100%)
result -> better  (1%, 100%)
theyre -> better  (1%, 100%)
upper -> big  (1%, 100%)
bill -> fit  (1%, 100%)
bill -> microwave  (1%, 100%)
bill -> small  (1%, 100%)
chicken -> bit  (1%, 100%)
